"","QKEY","Device_Type_W63.5","LANG_W63.5","COVIDFOL_W63.5","COVIDCOVER1_W63.5","COVIDCOVER2_W63.5","COVIDCONF_a_W63.5","COVIDCONF_b_W63.5","COVIDCONF_c_W63.5","COVIDCONF_d_W63.5","COVIDTONE_a_W63.5","COVIDTONE_b_W63.5","COVIDTONE_c_W63.5","COVIDTONE_d_W63.5","COVIDNEWS1_W63.5","COVIDTHREAT_a_W63.5","COVIDTHREAT_b_W63.5","COVIDTHREAT_c_W63.5","COVIDTHREAT_d_W63.5","COVIDTHREAT_e_W63.5","COVIDMISINFO_W63.5","COVIDVACC_W63.5","COVIDCREATE_W63.5","COVIDWORK_W63.5","INSURANCE_W63.5","GROUP_TRUST_a_W57","NEWS_MOST_W57","TALKPOL_W57","FOLELECT_W57","CR_PARTYNEWSUSE_W57","CR_NEWS_INFLU_W57","CR_DIG_SAV_W57","CR_MAINSOPOL_GROUPS_W57","CR_KNOWLEDGE_INDEX_W57","F_METRO","F_CREGION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHN","F_CITIZEN","F_NATIVITY2","F_MARITAL","F_RELIG","F_BORN","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","WEIGHT_W63.5"
"1061",639638,1,1,2,2,2,4,4,1,1,2,5,3,3,1,2,2,1,1,2,2,3,3,4,1,2,5,1,1,5,2,2,3,3,2,1,4,2,1,6,2,1,1,1,1,1,9,NA,6,3,2,2,6,2,1,4,1,1,0.541492716149637
"1062",640059,1,1,2,2,2,1,2,2,1,1,3,2,3,2,3,3,2,2,3,2,3,3,2,1,3,7,2,3,1,3,2,98,2,1,2,3,1,1,5,2,1,1,1,1,3,1,1,3,1,NA,1,9,1,1,2,1,1,0.258533573732469
"1063",640394,3,1,2,2,2,99,99,99,99,99,99,99,99,1,1,1,1,1,1,99,5,5,4,1,2,7,4,4,7,3,1,99,1,1,4,4,2,3,2,2,1,1,1,1,5,1,2,1,4,99,9,4,2,3,99,1,1,1.87439261814619
"1064",640648,2,1,1,4,2,1,1,3,2,1,3,1,3,2,2,2,1,1,2,1,2,5,3,1,3,7,1,1,2,1,2,4,3,1,1,3,1,2,3,2,1,1,1,1,1,1,1,4,3,1,1,7,1,1,3,1,1,0.44661595831531
"1065",641038,1,1,2,1,1,4,4,2,3,1,5,3,3,1,2,2,1,3,3,3,3,5,4,1,2,5,99,2,5,1,3,98,1,1,1,4,2,2,3,2,1,1,1,1,1,2,2,2,2,NA,2,5,2,1,3,1,1,0.415941338666269
"1066",641779,1,1,1,1,1,4,3,2,2,3,5,3,3,1,2,2,1,2,2,4,3,3,1,1,1,5,1,1,5,2,1,3,3,1,4,4,1,1,6,2,1,1,1,1,1,10,NA,5,2,NA,2,8,1,1,5,1,1,0.189308575697641
"1067",642208,2,1,2,1,1,1,1,2,1,1,3,1,3,2,2,2,2,3,2,2,5,5,1,1,3,7,2,2,2,2,1,98,3,2,3,3,1,2,3,2,1,1,1,1,5,12,NA,5,3,1,1,4,2,1,2,1,2,1.5828548357567
"1068",642225,2,1,1,1,1,4,4,2,3,3,5,3,4,1,1,2,1,1,1,2,3,3,1,1,2,6,1,1,5,1,1,3,2,1,1,2,1,2,3,2,1,1,1,5,6,9,NA,6,4,2,2,9,1,1,4,1,2,1.81911088408251
"1069",642247,2,1,1,2,2,4,4,3,1,3,5,3,3,1,1,1,1,2,2,1,3,3,4,1,1,2,3,1,5,1,1,7,3,1,2,3,2,1,5,2,1,1,1,1,1,1,2,6,2,NA,2,9,1,1,4,1,1,0.207158536236368
"1070",642484,1,1,1,1,1,4,2,1,1,3,5,3,3,2,1,2,1,2,1,2,3,3,2,1,2,1,1,1,4,2,1,9,3,1,1,4,2,1,6,2,1,1,1,1,5,5,NA,4,2,NA,2,8,1,1,4,1,1,0.356311516961973
"1071",642550,2,1,2,2,2,2,99,2,2,2,3,2,3,99,2,2,99,3,3,3,5,3,4,1,2,3,4,3,5,3,3,3,1,1,3,3,1,3,1,2,1,1,1,1,1,1,2,6,3,1,1,6,2,1,2,1,2,1.44070324343515
"1072",642576,2,1,1,2,2,1,1,1,1,1,3,1,3,1,2,3,1,2,2,2,3,3,1,1,3,7,4,4,3,99,2,98,1,1,3,4,2,1,6,2,1,1,1,1,5,1,2,5,1,NA,1,8,1,1,2,1,2,1.00859486904837
"1073",642590,2,1,2,4,4,4,3,4,1,1,1,2,3,2,2,1,2,2,1,2,2,1,3,1,4,7,4,4,5,3,2,6,2,1,4,1,2,1,6,2,1,1,1,1,6,11,NA,5,3,2,2,3,3,3,3,1,1,0.754616057653302
"1074",643431,1,1,1,2,1,2,1,1,1,1,4,1,3,1,2,3,2,3,3,4,2,3,1,1,4,7,3,3,2,3,1,4,3,1,3,3,1,1,6,2,1,1,1,1,1,1,2,1,3,1,1,6,2,1,2,1,1,0.217398738862374
"1075",644372,3,1,1,2,2,4,4,2,3,4,5,4,4,2,1,1,1,2,1,2,3,3,4,1,3,1,2,2,5,2,2,3,2,1,4,4,2,2,4,2,1,1,1,1,1,9,NA,6,2,NA,2,6,2,1,5,1,2,0.862196825205366
"1076",644484,2,1,2,2,1,2,2,3,1,1,5,3,3,1,2,2,1,1,2,4,2,3,1,1,2,7,3,3,3,3,1,98,1,1,1,2,1,1,5,2,1,1,1,1,6,5,NA,4,2,NA,2,8,1,3,2,1,2,2.71816051323148
"1077",644602,2,1,2,3,2,1,1,3,1,1,3,1,3,2,2,2,1,1,2,2,2,3,1,1,3,5,1,1,2,1,1,4,2,1,1,2,1,2,3,2,1,1,1,1,1,2,2,4,1,NA,1,9,1,1,2,1,1,0.846759342003313
"1078",644610,2,1,2,2,2,3,3,3,3,2,4,2,3,2,2,2,1,1,2,3,5,2,1,1,4,6,4,3,3,3,1,98,1,2,3,2,1,3,2,2,1,1,1,1,3,12,NA,5,4,1,1,6,2,3,3,1,2,6.13767400011774
"1079",644744,1,1,1,4,1,1,1,1,2,1,3,1,3,2,2,1,1,2,2,1,3,1,2,2,4,6,1,1,1,1,2,4,2,1,3,3,2,2,3,2,1,1,1,1,5,1,2,3,1,NA,1,4,2,1,2,1,2,0.841863595267089
"1080",644779,2,1,1,3,3,3,3,4,3,1,4,4,4,2,2,2,1,2,2,2,3,3,3,1,3,4,3,2,7,1,2,98,3,2,4,2,1,1,5,2,4,4,1,1,1,12,NA,6,3,1,1,9,1,1,3,1,1,0.867831022637677
"1081",644801,2,1,1,1,1,4,4,2,2,3,5,3,4,2,1,99,1,2,1,3,3,3,5,1,1,5,2,2,4,1,1,3,2,1,3,2,1,1,5,2,2,2,1,1,1,1,1,5,2,NA,2,9,1,1,4,1,1,0.47242023898786
"1082",644809,1,1,1,1,1,4,4,1,2,3,5,3,3,2,2,2,2,3,2,2,3,1,4,1,2,4,4,1,5,1,2,1,3,1,1,4,1,2,3,2,2,2,1,1,1,1,2,2,2,NA,2,4,2,1,4,1,1,0.475306874760771
"1083",644876,1,1,1,2,1,4,3,3,2,4,5,4,3,1,1,1,1,1,1,3,3,3,4,1,1,4,2,1,4,2,2,5,3,2,3,4,1,1,6,2,1,1,1,1,1,7,NA,6,2,NA,2,8,1,1,3,1,2,0.408393380440881
"1084",645020,1,1,3,3,3,4,4,3,3,1,5,2,2,2,2,2,2,2,2,2,5,5,1,1,3,4,3,4,7,3,1,99,1,1,3,3,1,1,5,2,1,1,1,1,1,5,NA,5,3,99,9,8,1,2,99,1,1,0.653444128111065
"1085",645149,2,1,2,1,2,2,2,2,2,1,3,2,3,1,2,2,2,2,2,2,3,3,4,1,2,6,2,2,7,2,1,99,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,4,1,1,4,2,1,2,1,1,0.639122506384038
"1086",645211,2,1,1,3,1,4,3,1,3,4,5,3,5,1,1,1,2,1,1,3,2,5,1,1,2,7,2,1,5,1,1,3,3,1,3,3,1,1,6,2,2,2,1,6,1,4,1,3,2,NA,2,6,2,1,3,1,1,0.224546831473877
"1087",645221,1,1,2,1,2,4,3,3,2,2,5,4,3,1,2,2,1,1,2,3,2,5,2,1,3,5,4,3,5,3,1,3,2,1,3,3,1,1,6,2,3,4,1,6,1,8,NA,4,3,2,2,9,1,3,3,1,2,1.37012084314693
"1088",645663,2,1,3,2,1,2,1,1,1,1,3,1,3,2,1,2,1,1,2,2,2,1,3,1,3,4,2,3,2,3,1,6,3,1,3,3,1,3,2,2,1,1,2,6,6,2,2,5,3,1,1,2,3,NA,2,1,2,4.08412909011949
"1089",645732,2,1,1,2,1,1,1,1,2,1,4,1,2,2,1,1,1,1,1,1,3,1,1,1,4,7,1,1,2,1,1,4,3,1,2,3,1,1,5,2,1,1,1,1,1,1,2,4,1,NA,1,7,1,1,2,1,2,1.04976310086567
"1090",645900,2,1,1,2,2,4,4,2,3,4,5,3,4,2,1,1,1,2,1,3,2,2,4,1,2,4,2,1,5,2,2,2,2,1,2,4,1,1,6,2,1,1,1,1,1,1,2,3,2,NA,2,6,2,1,3,1,1,0.230613039684893
"1091",645909,2,1,2,2,3,2,3,3,2,2,3,3,2,2,2,2,2,2,3,3,3,1,3,1,2,6,4,4,6,3,1,98,1,1,3,2,2,2,3,2,1,1,1,1,1,1,2,2,4,1,1,6,2,1,1,1,1,0.577432122277792
"1092",645972,2,1,1,4,3,2,1,2,1,1,4,1,3,2,2,2,2,2,2,4,3,5,2,1,3,6,2,1,2,2,1,98,3,1,4,2,1,2,4,2,1,1,1,6,3,1,1,3,4,1,1,6,2,1,3,1,1,0.676066851078822
"1093",646163,2,1,2,4,3,2,2,2,2,1,4,2,2,2,3,3,1,2,3,3,5,3,1,1,3,7,3,2,3,2,1,98,3,1,4,2,1,1,5,2,1,1,1,1,1,12,NA,6,4,1,1,9,1,1,3,1,2,1.08584262264865
"1094",646386,1,1,2,3,2,1,1,2,1,1,3,4,3,2,2,1,2,2,2,2,2,3,4,1,3,5,1,2,1,2,2,98,2,1,4,4,1,3,2,2,1,1,1,1,1,10,NA,6,3,1,1,4,2,1,2,1,2,2.67431229928466
"1095",646801,2,1,1,1,1,4,4,2,3,3,5,3,4,1,1,1,1,2,1,3,3,3,4,1,2,5,1,1,5,1,2,5,3,1,1,4,2,1,5,2,1,1,1,1,1,2,2,6,3,2,2,8,1,1,3,1,2,1.18813450801234
"1096",646823,2,1,1,3,2,2,2,2,2,1,4,1,3,1,2,2,1,2,1,3,3,3,2,1,3,4,2,1,2,1,2,3,3,1,2,4,1,1,6,2,1,1,1,1,1,1,1,2,3,1,1,9,1,1,2,1,1,0.227483968598657
"1097",647050,2,1,3,4,3,2,4,4,1,1,4,4,2,1,1,3,1,2,2,2,3,3,3,1,3,6,1,3,3,3,2,98,1,2,3,1,1,3,2,1,1,3,1,1,6,2,1,1,1,NA,1,1,3,1,2,2,2,7.48762122176581
"1098",647213,2,1,2,2,1,4,2,3,3,3,5,3,4,1,1,1,1,1,1,2,3,2,3,1,2,7,2,2,5,1,1,3,2,1,4,3,1,1,6,2,2,2,2,6,4,2,2,4,3,2,2,5,2,NA,3,1,2,2.64576270534484
"1099",647661,1,1,1,1,1,4,4,3,3,3,5,3,3,1,1,1,1,3,2,4,3,3,4,1,1,5,1,1,5,2,1,5,3,1,3,4,1,1,5,2,1,1,1,1,1,5,NA,5,2,NA,2,9,1,1,4,1,1,0.166587741355572
"1100",647894,3,1,2,1,1,4,3,1,1,4,5,4,1,2,1,1,1,1,1,3,5,3,4,1,2,3,3,3,NA,3,3,99,1,1,1,2,2,3,1,2,1,1,1,1,3,1,1,5,3,2,2,1,3,3,1,2,2,7.48762122176581
"1101",648143,2,1,1,2,1,1,2,3,2,1,3,1,3,1,2,2,2,2,2,3,3,3,2,1,3,5,4,3,3,3,2,98,1,1,3,2,2,3,1,2,1,1,1,1,1,1,1,1,1,NA,1,7,1,1,2,1,2,2.09765866210606
"1102",648148,1,1,1,3,3,4,3,3,3,1,5,2,3,1,2,2,1,3,2,3,3,3,1,1,3,7,4,2,7,2,1,98,2,1,2,1,1,1,5,2,1,1,1,1,1,1,1,2,1,NA,1,8,1,1,3,1,1,0.55295162206703
"1103",648758,2,1,1,3,2,2,1,2,2,1,3,2,3,1,3,2,2,2,2,2,3,3,4,1,2,7,3,1,2,2,1,4,2,1,4,3,1,2,3,2,1,1,1,1,1,1,2,6,1,NA,1,9,1,1,2,1,2,1.05605470804654
"1104",648896,2,1,1,1,1,4,4,1,1,3,5,3,3,1,1,1,2,3,1,2,3,3,4,1,1,7,1,99,5,99,1,9,3,2,2,4,1,1,6,2,1,1,1,1,1,8,NA,1,2,NA,2,8,1,1,5,1,1,0.187283354724434
"1105",648957,2,1,1,1,1,4,4,3,2,3,5,4,3,1,2,2,1,1,2,4,3,3,1,1,2,5,1,2,6,1,1,2,2,1,4,3,2,1,5,2,1,1,1,1,3,1,2,4,3,2,2,6,2,1,4,1,1,0.319276325286437
"1106",649014,2,1,1,2,1,4,4,2,2,3,5,3,3,1,1,2,1,3,1,3,3,3,1,1,1,2,1,1,4,1,1,7,3,1,3,2,2,1,6,1,1,3,1,1,6,1,2,5,3,2,2,7,1,1,5,1,1,0.222929707816185
"1107",649038,1,1,3,1,2,3,2,2,2,1,3,2,3,2,2,2,2,3,2,2,3,5,2,1,4,6,1,2,2,1,1,98,3,1,2,2,1,1,6,2,1,1,1,1,1,1,1,2,3,1,1,9,1,1,1,1,1,0.393722213983094
"1108",649196,1,1,1,1,1,4,4,2,3,3,5,3,3,1,1,1,1,2,1,3,2,1,4,1,2,2,1,1,5,1,1,6,3,1,4,3,1,2,3,2,2,2,1,1,4,12,NA,6,2,NA,2,4,2,1,4,1,1,0.428181394949725
"1109",649301,2,1,2,99,2,4,4,4,4,4,99,4,4,2,1,2,2,2,2,4,5,5,4,1,3,3,2,2,5,2,2,3,2,1,2,3,2,1,5,2,2,2,1,1,6,1,1,3,2,NA,2,1,3,1,3,1,2,0.639389804039804
"1110",649446,2,1,1,4,3,1,1,1,1,1,3,3,3,1,2,2,1,2,2,2,2,5,1,1,2,3,3,1,2,1,1,4,3,2,3,2,1,1,6,2,1,1,1,1,1,1,1,4,1,NA,1,9,1,1,3,1,1,0.499901681509111
"1111",649614,2,1,2,3,3,2,2,2,2,1,3,2,2,1,2,2,1,1,2,3,3,3,4,1,2,7,2,2,3,1,1,98,3,1,3,2,1,1,6,2,1,1,1,1,6,1,1,4,1,NA,1,9,1,1,2,1,2,1.04633417024387
"1112",649640,1,1,2,3,2,3,3,3,2,1,4,99,3,2,2,1,99,2,2,2,5,1,5,1,3,1,2,2,NA,2,3,99,2,1,1,3,1,2,3,2,4,4,1,1,1,2,2,4,99,99,9,8,1,1,99,1,1,0.504061995232539
"1113",649847,2,1,2,2,1,4,4,1,1,2,5,2,3,1,2,1,1,1,2,2,3,3,2,1,2,7,1,2,5,2,2,98,3,2,3,3,1,2,4,2,1,1,1,1,1,12,NA,6,3,2,2,8,1,1,3,1,1,0.39280648572927
"1114",649944,2,1,1,1,1,4,3,2,2,2,5,1,1,2,2,1,2,3,1,2,5,5,5,1,2,3,2,3,5,2,2,98,1,1,3,3,2,2,3,2,2,2,1,1,1,1,1,1,2,NA,2,5,2,1,2,1,1,0.523890305620394
"1115",649965,1,1,2,2,1,4,4,3,1,1,5,3,3,1,1,1,1,1,1,4,5,3,4,1,2,7,1,1,5,2,2,98,2,1,4,4,1,3,2,2,1,1,1,1,4,9,NA,6,2,NA,2,5,2,1,5,1,2,1.84706747193874
"1116",650035,2,1,1,3,1,1,1,3,2,1,3,1,2,2,2,2,2,2,2,1,5,1,4,1,4,2,2,1,1,2,1,4,2,1,3,4,2,3,2,2,1,1,1,1,1,1,1,1,1,NA,1,7,1,1,1,1,1,1.03078555369748
"1117",650249,2,1,2,4,4,1,1,1,1,1,3,1,3,2,2,2,1,1,2,3,3,3,4,1,3,7,4,3,3,3,2,98,2,1,3,4,2,1,6,2,1,1,1,1,5,12,NA,5,1,NA,1,7,1,1,3,1,1,0.428054601938189
"1118",650620,2,1,1,2,1,4,4,3,3,3,5,3,4,1,1,3,1,2,1,4,3,3,1,1,1,7,1,1,5,1,1,7,3,1,3,2,2,1,6,2,3,4,1,6,3,9,NA,6,2,NA,2,8,1,1,4,1,2,1.09569549938383
"1119",650775,1,1,1,1,1,4,4,2,2,3,5,3,4,1,2,2,1,3,2,2,3,3,4,1,2,4,1,1,5,1,1,98,2,1,4,4,1,1,6,2,1,1,1,1,2,11,NA,5,2,NA,2,7,1,1,4,1,1,0.189308575697641
"1120",650786,1,1,2,2,1,4,4,2,2,3,5,4,3,1,1,1,1,2,1,1,5,3,1,1,2,7,1,1,4,1,1,98,3,1,4,3,1,1,5,2,1,1,1,1,1,9,NA,6,2,NA,2,9,1,1,5,1,1,0.191903458339348
"1121",650852,2,1,1,2,2,1,1,1,1,1,3,1,3,1,2,2,2,2,2,2,3,2,2,1,4,2,1,1,2,2,1,98,3,1,1,4,1,2,3,2,1,1,1,1,1,10,NA,6,4,1,1,5,2,1,2,1,1,0.439546632748239
"1122",651047,1,1,2,4,2,1,1,2,2,1,3,1,3,2,3,3,2,2,3,2,1,5,4,1,4,2,2,2,2,1,3,4,2,1,1,4,1,3,1,2,1,1,1,1,1,2,2,6,1,NA,1,7,1,1,1,1,1,1.39835116290467
"1123",651102,2,1,2,1,2,3,3,1,1,3,4,3,3,1,2,1,1,1,2,3,3,3,3,1,2,5,4,4,1,3,1,4,1,1,2,2,2,1,5,1,1,3,1,1,1,10,NA,6,4,2,2,4,2,2,3,1,2,0.862095722704777
"1124",651204,1,1,1,2,1,4,4,2,2,4,5,3,4,1,1,1,1,1,1,2,3,3,3,1,2,7,3,1,4,2,2,7,2,1,1,3,1,1,5,1,1,3,1,1,6,10,NA,6,3,2,2,5,2,1,4,1,2,0.411547765501185
"1125",651256,2,1,2,1,1,3,4,1,2,2,4,3,3,1,3,3,2,3,3,4,3,3,2,1,2,6,4,4,7,3,1,8,2,1,1,2,2,1,5,2,3,4,1,6,1,9,NA,6,2,NA,2,9,1,1,3,1,2,1.90903926494738
"1126",651351,2,1,2,2,2,3,3,2,1,2,5,4,3,1,1,2,1,2,2,2,3,3,4,1,3,6,4,3,7,2,1,8,2,1,3,2,2,1,5,2,1,1,1,1,1,10,NA,6,4,2,2,7,1,1,4,1,2,0.890417323430454
"1127",651381,1,1,3,1,1,3,2,1,1,1,4,2,3,1,2,3,1,3,2,4,3,3,4,1,2,4,3,2,6,2,2,2,3,1,4,4,2,3,2,2,1,1,1,1,6,12,NA,6,4,2,2,2,3,1,4,1,2,1.78763549631465
"1128",651396,2,1,3,1,3,99,3,2,2,4,3,3,3,2,2,2,2,2,2,2,5,5,5,1,4,6,4,4,7,3,3,99,1,1,3,1,2,1,5,1,5,3,1,1,1,12,NA,6,2,NA,2,3,3,2,4,1,2,0.762498818717643
"1129",651421,2,1,2,3,1,2,2,2,1,1,3,3,2,1,2,3,1,2,3,2,2,3,2,1,2,3,3,2,1,2,3,4,2,1,2,2,1,2,4,2,1,1,1,1,6,1,2,4,1,NA,1,7,1,1,2,1,2,1.5819555986867
"1130",651437,1,1,1,4,3,1,1,4,2,1,3,1,2,1,2,3,2,3,3,2,3,3,1,1,3,4,1,2,2,2,2,4,2,1,4,3,2,2,4,2,1,1,1,1,1,1,1,4,1,NA,1,9,1,1,2,1,2,1.53600610021432
"1131",651541,2,1,1,4,4,4,3,4,4,1,4,1,4,2,1,1,1,1,1,1,3,5,2,1,4,3,2,2,1,2,3,99,3,1,3,3,1,3,1,2,1,1,1,1,5,1,1,4,1,NA,1,99,99,1,1,1,1,1.065141795026
"1132",651578,2,1,1,4,4,2,2,3,3,1,3,1,1,2,2,1,2,1,2,3,2,3,4,1,3,5,2,1,2,1,2,4,2,1,4,4,1,2,4,2,1,1,1,1,1,1,2,6,3,1,1,7,1,1,2,1,2,0.917267064876576
"1133",651585,2,1,1,1,1,4,2,1,1,3,5,3,3,1,1,2,1,2,2,4,2,3,4,1,2,2,1,2,5,2,2,3,2,1,4,4,2,1,5,2,1,1,1,1,1,12,NA,6,2,NA,2,7,1,1,4,1,1,0.317007737119546
"1134",651697,2,1,1,1,1,2,1,1,1,2,4,3,1,1,1,1,1,1,1,3,2,2,1,1,2,4,3,3,5,3,1,98,2,1,3,3,2,2,3,1,1,3,1,5,1,12,NA,5,2,NA,2,7,1,1,3,1,2,1.10944146955271
"1135",651945,2,1,2,2,2,2,3,2,2,2,4,3,3,1,1,2,1,2,1,1,3,1,1,1,2,7,2,2,2,2,2,98,2,1,3,1,1,1,5,2,1,1,1,1,6,1,2,4,4,1,1,7,1,2,3,1,1,0.819326591045802
"1136",652059,2,1,2,1,1,3,2,1,1,2,4,3,3,1,2,2,1,3,2,4,2,3,4,1,2,6,4,4,7,3,1,8,1,1,3,2,2,1,6,2,1,1,1,1,1,1,1,2,3,2,2,6,2,1,3,1,1,0.380187486761625
"1137",652222,1,1,1,1,1,4,4,2,2,3,5,3,3,1,1,1,1,1,1,3,3,3,2,1,1,2,3,1,5,2,1,7,3,1,2,3,1,1,6,2,1,1,1,1,6,1,2,3,3,2,2,4,2,1,3,1,2,0.92742101031085
"1138",652624,1,1,1,1,1,4,3,2,1,1,5,2,2,1,2,2,1,2,2,2,3,3,3,1,2,1,1,1,4,2,2,98,3,1,3,3,2,1,5,2,1,1,1,1,3,12,NA,6,2,NA,2,7,1,1,5,1,1,0.20313757190989
"1139",652882,2,1,1,2,2,2,2,2,1,2,3,3,4,1,2,2,1,1,2,3,5,5,3,1,2,3,4,3,7,3,1,3,1,1,3,2,1,2,4,2,1,1,1,1,3,1,1,4,3,2,2,7,1,2,1,1,1,0.975871062863209
"1140",653158,2,1,1,4,4,4,4,1,3,1,3,3,3,1,2,3,1,1,3,3,3,3,2,1,1,2,1,2,5,1,1,7,3,1,4,2,1,1,6,2,1,1,1,1,6,4,2,4,2,NA,2,4,2,1,4,1,2,0.931094057493322
"1141",653320,2,1,2,2,2,2,3,2,2,3,3,4,3,2,1,1,1,2,2,4,5,5,3,1,2,6,3,3,1,3,3,4,1,1,2,2,1,2,4,1,4,3,1,1,6,12,NA,5,1,NA,1,3,3,3,3,1,2,1.6876466224604
"1142",653382,2,1,2,2,2,3,2,2,2,2,4,3,3,1,2,2,2,2,2,4,3,3,1,1,2,6,4,3,5,3,1,6,2,1,4,2,2,2,3,1,1,3,1,1,1,12,NA,6,3,2,2,6,2,1,3,1,2,0.929985292490067
"1143",653393,2,1,4,4,2,1,1,1,1,1,3,2,3,3,2,2,1,3,2,4,5,1,5,1,2,7,2,3,1,3,2,98,1,2,4,2,2,2,3,2,1,1,1,1,1,3,2,2,1,NA,1,6,2,1,2,1,2,1.82453797766422
"1144",653477,2,1,2,2,2,1,2,2,2,1,3,4,2,1,3,2,2,3,2,2,3,5,1,1,3,3,2,2,1,2,2,98,2,2,3,3,1,3,2,2,1,1,1,1,6,1,1,3,3,1,1,5,2,1,2,1,1,1.42576189506286
"1145",653635,2,1,1,4,4,1,1,1,1,1,3,1,3,2,3,3,3,3,3,1,3,3,2,1,2,3,4,3,7,3,1,3,1,1,1,2,2,1,5,2,1,1,1,1,1,2,2,4,1,NA,1,9,1,1,2,1,1,0.628183034590912
"1146",653764,1,1,1,3,3,2,2,2,2,2,3,1,3,2,2,2,1,2,2,2,3,2,1,1,3,7,2,1,2,1,1,4,3,1,4,4,1,1,5,2,1,1,1,1,1,1,1,4,1,NA,1,9,1,1,3,1,1,0.287185005972092
"1147",653904,1,1,1,4,2,1,1,3,3,1,3,1,2,3,2,3,1,2,2,1,2,1,3,1,3,7,2,2,3,1,2,3,2,1,2,3,2,2,4,2,1,1,1,1,3,1,1,1,1,NA,1,2,3,1,1,1,2,0.864133476477985
"1148",653961,2,1,2,3,2,1,2,2,2,2,3,2,2,2,2,2,1,2,1,3,3,3,4,1,2,5,2,3,3,3,2,6,2,2,4,3,2,3,2,2,1,1,1,1,1,1,1,1,1,NA,1,6,2,1,2,1,1,1.0502329863586
"1149",654114,2,1,1,1,1,1,1,2,1,3,3,3,3,1,1,2,2,2,1,3,2,1,4,1,2,3,2,4,3,3,1,6,2,1,2,3,2,1,5,2,1,1,1,1,1,2,2,2,1,NA,1,8,1,1,2,1,1,0.317264943657635
"1150",654147,2,1,1,4,2,4,4,3,3,3,5,2,4,3,2,3,1,2,1,1,5,1,1,1,2,6,2,2,6,2,1,8,2,1,1,2,1,2,3,2,99,99,1,1,6,12,NA,5,3,2,2,8,1,1,4,1,2,1.86310343750121
"1151",654498,1,1,2,2,1,4,3,2,2,3,5,3,3,1,1,2,1,3,2,4,3,3,4,1,1,5,2,1,5,2,2,5,3,2,3,4,2,1,5,2,1,1,1,1,3,9,NA,5,2,NA,2,3,3,1,4,1,2,0.724734649938103
"1152",654956,2,1,2,4,3,2,2,2,1,1,4,2,3,2,2,2,1,2,1,2,2,5,1,1,2,7,3,2,2,2,2,4,3,1,4,2,1,1,5,2,1,1,2,6,1,3,2,2,1,NA,1,6,2,NA,2,1,1,1.08804313325194
"1153",655049,1,1,2,1,1,4,4,3,2,3,5,3,3,1,1,2,1,2,2,2,3,3,4,1,1,5,3,2,5,1,3,3,3,1,1,3,2,1,6,2,1,1,1,1,1,1,2,5,2,NA,2,6,2,1,3,1,2,0.589537902025063
"1154",655088,1,1,1,2,2,1,2,2,1,3,3,3,3,1,2,2,1,2,3,4,3,3,2,2,3,7,2,3,1,3,1,98,3,1,3,3,1,2,3,2,1,1,1,6,1,12,NA,5,3,1,1,5,2,1,2,1,2,1.35859103344084
"1155",655262,1,1,1,1,1,1,1,2,1,1,3,2,3,2,3,3,1,2,3,1,3,3,4,1,4,5,2,1,1,2,3,4,3,1,3,4,1,3,2,2,1,1,1,1,1,1,1,1,1,NA,1,6,2,1,1,1,1,1.04717727439353
"1156",655386,1,1,1,4,2,1,1,1,1,1,3,1,3,1,2,2,2,2,2,1,3,3,1,1,4,7,1,1,1,1,1,4,3,1,4,3,1,1,6,2,1,1,1,1,1,1,1,2,1,NA,1,9,1,1,1,1,2,0.666554182766376
"1157",655741,1,1,2,1,2,4,4,2,2,3,4,3,3,1,2,2,1,1,1,3,3,3,5,1,2,7,2,1,4,1,1,98,3,1,2,1,1,1,5,2,1,1,1,1,6,10,NA,4,3,2,2,5,2,1,5,1,2,0.802561532637452
"1158",655794,2,1,1,2,2,4,4,2,3,2,5,3,5,1,1,2,1,1,1,3,3,3,2,1,2,6,2,1,5,1,1,5,3,1,4,3,2,1,5,2,3,4,1,6,6,10,NA,6,3,2,2,8,1,1,3,1,1,0.792152398497342
"1159",655814,1,1,1,2,1,4,3,1,1,3,5,4,3,1,1,2,1,1,1,2,3,3,1,1,2,5,1,1,5,2,2,5,3,1,3,3,2,2,3,2,1,1,1,1,6,1,2,4,4,2,2,7,1,1,3,1,1,0.321261888165487
"1160",655988,1,1,3,2,2,3,3,2,3,3,4,4,4,1,2,1,1,1,1,2,3,3,4,1,2,7,4,4,5,3,1,98,2,1,4,3,1,1,5,2,3,4,1,6,1,12,NA,5,3,2,2,9,1,1,3,1,2,0.922385928728693
"1161",656308,2,1,2,2,2,2,2,2,2,2,3,4,3,1,1,2,1,2,2,2,5,5,5,2,2,6,4,3,6,3,1,6,1,1,2,2,1,2,4,2,1,1,1,1,1,12,NA,5,3,2,2,6,2,1,3,1,1,0.579738352572722
"1162",656310,2,1,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,3,1,1,1,4,7,1,3,7,3,1,99,3,1,3,2,2,1,6,2,1,1,1,1,1,2,2,3,3,1,1,8,1,1,2,1,1,0.437307452523619
